,DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Wheel Speed [km.h-1],Engine Speed [rpm],Wheel Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],PM Conc. [µg.m-3],PN Conc. [#.cm-3],NO2 [v],NO2 Conc. [ppm],NO [v],NO Conc. [ppm],CO2 [v],CO2 Conc. [%],Temperature [c],GPS Acceleration [m.s-2],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],PM Conc. [mg.m-3],PM Rate [kg.s-1],PM Rate [g.s-1],NO2 Conc. [mg.m-3],NO2 Rate [kg.s-1],NO2 Rate [g.s-1],NO Conc. [mg.m-3],NO Rate [kg.s-1],NO Rate [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1]
379,2019-09-05 12:10:01,45.52965,-73.56332,40.17505,30.384,33.0,1253.75,0.2987448,0.6858461,38.0,2.06,15.98583,100.0,0.998997,22.0,196.9,471914.2,0.002234,0.24,0.000459,1.21,3.080586,16.82,33.5,-0.8624999999999998,-0.0010296452193753636,0.1367881943888889,0.1399954979591837,0.19690000000000002,3.1372418593858774e-10,3.1372418593858775e-07,0.4334491737912843,6.906220883363337e-10,6.906220883363337e-07,1.4253649336762384,2.271058676906993e-09,2.2710586769069933e-06,168200.0,290570.8638434447,0.0004629715983583387,0.4629715983583387
380,2019-09-05 12:10:02,45.52971,-73.56329,39.98251,27.18,33.0,1155.25,-2.775558e-16,0.7724093,38.0,2.32,20.33691,101.0,0.9859125,22.0,143.0,342196.7,0.002234,0.24,6.8e-05,0.18,3.080098,16.81,33.6,-1.0574999999999999,-0.009508723235150531,0.15405274372222222,0.15559979591836734,0.143,2.5660143862634384e-10,2.5660143862634384e-07,0.437640878945528,7.853096443295111e-10,7.853096443295111e-07,0.21408828695645452,3.841633736089214e-10,3.841633736089214e-07,168100.0,293206.4289783209,0.0005261342062260844,0.5261342062260844
381,2019-09-05 12:10:03,45.52977,-73.56326,39.66693,21.816,33.0,1155.25,-2.775558e-16,0.7724093,38.0,2.32,20.33691,101.0,0.9859125,22.0,152.0,355310.9,0.001843,0.2,0.000264,0.7,3.079707,16.81,33.6,-1.285,-0.003587719799199622,0.15405274372222222,0.15559979591836734,0.152,2.7275117951891103e-10,2.72751179518911e-07,0.36470073245460666,6.544247036079259e-10,6.544247036079259e-07,0.832565560386212,1.4939686751458052e-09,1.4939686751458053e-06,168100.0,293206.4289783209,0.0005261342062260844,0.5261342062260844
382,2019-09-05 12:10:04,45.52981,-73.56324,39.63174,16.776,33.0,1155.25,-2.775558e-16,0.7724093,38.0,2.32,20.33691,101.0,0.9859125,22.0,73.8,160570.1,0.001843,0.2,0.0,0.0,3.078926,16.81,33.6,-1.3625000694444442,-0.009969541042381454,0.15405274372222222,0.15559979591836734,0.07379999999999999,1.3242787531905018e-10,1.3242787531905018e-07,0.36470073245460666,6.544247036079259e-10,6.544247036079259e-07,0.0,0.0,0.0,168100.0,293206.4289783209,0.0005261342062260844,0.5261342062260844
383,2019-09-05 12:10:05,45.52984,-73.56322,39.69799,11.88,33.0,1155.25,-2.775558e-16,0.7724093,38.0,2.32,20.33691,101.0,0.9859125,22.0,308.1,734007.8,0.000671,0.07,6.8e-05,0.18,2.939438,16.05,33.5,-1.2074999999999998,-0.013472279702224251,0.15405274372222222,0.15559979591836734,0.30810000000000004,5.528594632222137e-10,5.528594632222137e-07,0.1276869024460158,2.2912337665307188e-10,2.2912337665307187e-07,0.21415813631598357,3.842887123931332e-10,3.842887123931332e-07,160500.0,280041.5569758715,0.0005025109538123768,0.5025109538123768
384,2019-09-05 12:10:06,45.52986,-73.56321,39.72512,7.559999,33.0,1155.25,-2.775558e-16,0.7724093,38.0,2.32,20.33691,101.0,0.9859125,22.0,292.4,696982.1,8.5e-05,0.01,0.000557,1.47,2.820366,15.4,33.5,-1.085,0.011307146609501325,0.15405274372222222,0.15559979591836734,0.2924,5.246871374429577e-10,5.246871374429577e-07,0.018240986063716543,3.2731910950438845e-11,3.2731910950438845e-08,1.748958113247199,3.138357817877254e-09,3.138357817877254e-06,154000.0,268700.3101201509,0.00048216004291031807,0.48216004291031805
385,2019-09-05 12:10:07,45.52988,-73.56321,39.62564,4.428,28.0,739.0,-0.1564518,0.7792867,38.0,2.31,21.97576,101.0,0.9241195,22.0,183.0,442501.7,0.0,0.0,0.000166,0.44,2.483077,13.55,33.5,-0.7450000000000001,0.02865072893674906,0.15542440294444443,0.1452187785714286,0.183,3.2696264212236063e-10,3.2696264212236065e-07,0.0,0.0,0.0,0.523497666550182,9.353233890717928e-10,9.353233890717927e-07,135500.0,236421.37676156132,0.000422409606558285,0.42240960655828497
386,2019-09-05 12:10:08,45.52988,-73.56321,39.53091,1.152,7.0,588.25,-1.226229,0.824197,38.0,2.29,34.05642,101.0,0.9241195,21.0,253.7,614349.6,0.0,0.0,0.000752,1.99,2.059292,11.24,33.6,-0.48249993055555557,0.040902303869911456,0.16438151277777777,0.1439614731292517,0.2537,4.4935648542037287e-10,4.4935648542037287e-07,0.0,0.0,0.0,2.3668649502408026,4.192219611765364e-09,4.192219611765364e-06,112400.0,196052.3653608761,0.0003472503029440841,0.3472503029440841
387,2019-09-05 12:10:09,45.52988,-73.56321,39.53091,1.152,4.0,691.25,-1.39102,0.8026023,38.0,2.23,41.66303,101.0,0.9241195,21.0,176.5,429806.8,0.0,0.0,0.000654,1.73,2.013822,10.99,33.6,-0.11500000000000005,0.040902303869911456,0.16007456983333335,0.1401895568027211,0.1765,3.0442803001005496e-10,3.0442803001005495e-07,0.0,0.0,0.0,2.057626313525924,3.5490035417764797e-09,3.5490035417764796e-06,109900.0,191691.77004591,0.0003306308664261577,0.3306308664261577
388,2019-09-05 12:10:10,45.52988,-73.56321,39.51651,0.612,3.0,648.25,-0.4675539,0.8026023,38.0,2.23,35.45502,101.0,0.9241195,21.0,195.4,477223.5,0.0,0.0,0.002706,7.14,2.204835,12.04,33.6,0.44000000000000006,0.04271800937229896,0.16007456983333335,0.1401895568027211,0.19540000000000002,3.3702683888931865e-10,3.3702683888931864e-07,0.0,0.0,0.0,8.49216871593936,1.4647332536580384e-08,1.4647332536580383e-05,120399.99999999999,210006.27036876758,0.00036221980270891154,0.3622198027089115
